kickoff_utc,week,away_team,home_team,venue,dome,capacity,market_spread_home,market_total,model_margin_adjusted,model_total,ats_pick,ats_confidence,total_pick,total_confidence,ml_pick,adjustment_notes
2026-08-29T16:00:00.000Z,1,North Carolina,TCU,Aviva Stadium,no,51700,-7,48.5,9.5065,55.160000000000004,home,medium,over,high,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T19:00:00.000Z,1,San José State,USC,Los Angeles Memorial Coliseum,no,77500,-38.5,59.5,29.984500000000004,60.08,away,high,over,low,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T19:30:00.000Z,1,NC State,Virginia,Scott Stadium,no,61500,-5.5,54.5,3.8339999999999996,51.08,away,medium,under,medium,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T21:30:00.000Z,1,Jacksonville State,North Dakota State,Fargodome,yes,18700,-7.5,48.5,3.9047500000000004,53.72,away,high,over,medium,away,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T22:30:00.000Z,1,Sacramento State,Eastern Michigan,Rynearson Stadium,no,30200,-8.5,,3.4315000000000007,57.56,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T23:00:00.000Z,1,Hawai'i,Stanford,Stanford Stadium,no,50424,-3,,3.4367500000000004,50.480000000000004,home,low,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-29T23:00:00.000Z,1,New Mexico State,Florida State,Doak Campbell Stadium,no,67277,-30.5,53.5,24.276,53.480000000000004,away,high,under,low,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-08-30T02:00:00.000Z,1,Memphis,UNLV,Allegiant Stadium,yes,65000,-3,,2.1495000000000006,56.6,away,low,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-03T22:00:00.000Z,1,Massachusetts,Rutgers,SHI Stadium,no,52454,-30.5,,25.70525,60.56,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-03T23:00:00.000Z,1,Akron,Wake Forest,Allegacy Federal Credit Union Stadium,no,31500,-22.5,,20.73075,47.24,away,medium,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-04T00:00:00.000Z,1,Colorado,Georgia Tech,Bobby Dodd Stadium,no,55000,-7,,6.92,54.68,away,low,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-04T01:00:00.000Z,1,UAB,Illinois,"Memorial Stadium (Champaign, IL)",no,60670,-27.5,56.5,23.766499999999997,58.04,away,high,over,low,away,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-04T22:30:00.000Z,1,San José State,Eastern Michigan,Rynearson Stadium,no,30200,-3.5,,1.1500000000000001,55.519999999999996,away,medium,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T00:00:00.000Z,1,UTEP,Oklahoma,"Memorial Stadium (Norman, OK)",no,86112,-40.5,49.5,34.57925,44.599999999999994,away,high,under,medium,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T00:00:00.000Z,1,Toledo,Michigan State,Spartan Stadium,no,75005,-10.5,,4.60325,50.36,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T01:00:00.000Z,1,Miami,Stanford,Stanford Stadium,no,50424,21.5,,-20.897000000000002,49.28,home,low,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T01:00:00.000Z,1,Fresno State,USC,Los Angeles Memorial Coliseum,no,77500,-23.5,,19.11,55.16,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,North Texas,Indiana,"Memorial Stadium (Bloomington, IN)",no,52656,-40.5,,27.912750000000003,58.64,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Liberty,James Madison,Bridgeforth Stadium,no,24877,-6,,11.887999999999998,53.96,home,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Ohio,Nebraska,"Memorial Stadium (Lincoln, NE)",no,85458,-23.5,,14.347249999999999,53.36,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,East Carolina,Alabama,Bryant-Denny Stadium,no,101821,-25.5,,20.652499999999996,52.040000000000006,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Coastal Carolina,West Virginia,Milan Puskar Stadium,no,60000,-21,57.5,13.825,51.68,away,high,under,medium,home,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Oregon State,Houston,TDECU Stadium,no,40000,-19.5,50.5,16.67275,53.239999999999995,away,medium,over,medium,away,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:00:00.000Z,1,Miami (OH),Pittsburgh,Acrisure Stadium,no,68400,-16.5,50.5,16.393333333333334,45.56,away,low,under,medium,away,"blend of 3 margin source(s): espn_fpi, fei, team_rankings; total from fei"
2026-09-05T16:30:00.000Z,1,Ball State,Ohio State,Ohio Stadium,no,102780,-49.5,,45.602,49.4,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T16:45:00.000Z,1,Kent State,South Carolina,Williams-Brice Stadium,no,80250,-34.5,52.5,28.783249999999995,51.44,away,high,under,low,home,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Marshall,Penn State,Beaver Stadium,no,106572,-24.5,54.5,22.9855,50.96,away,medium,under,medium,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Tulane,Duke,Wallace Wade Stadium,no,40004,-8.5,,3.9064999999999994,56.599999999999994,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Baylor,Auburn,Mercedes-Benz Stadium,yes,75000,-6.5,59.5,7.99225,51.92,home,medium,under,high,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Boise State,Oregon,Autzen Stadium,no,54000,-24.5,,21.920249999999996,54.44,away,medium,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Texas State,Texas,DKR-Texas Memorial Stadium,no,100119,-30.5,,26.218499999999995,54.8,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:30:00.000Z,1,Boston College,Cincinnati,Nippert Stadium,no,40000,-9.5,,8.796,58.04,away,low,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T19:45:00.000Z,1,Oklahoma State,Tulsa,Chapman Stadium,no,30000,11.5,,-7.2844999999999995,49.28,home,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T20:15:00.000Z,1,Northern Illinois,Iowa,Kinnick Stadium,no,69250,-30.5,45.5,27.849749999999997,43.76,away,medium,under,low,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T22:00:00.000Z,1,Wyoming,Colorado State,Canvas Stadium,no,36500,-4,,2.056250000000001,47.599999999999994,away,medium,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:00:00.000Z,1,Sam Houston,Troy,Veterans Memorial Stadium (AL),no,30000,-16.5,51.5,15.37,45.44,away,medium,under,high,away,"blend of 3 margin source(s): fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:00:00.000Z,1,Florida International,South Florida,Raymond James Stadium,no,65828,-12.5,54.5,13.3655,51.2,home,low,under,medium,,"blend of 2 margin source(s): espn_fpi, fei; total from fei"
2026-09-05T23:00:00.000Z,1,Arkansas State,Memphis,Simmons Bank Liberty Stadium,no,58325,-10.5,56.5,11.6365,52.76,home,medium,under,medium,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:00:00.000Z,1,Missouri State,Texas A&M,Kyle Field,no,102733,-39.5,52.5,31.646749999999997,55.64,away,high,over,medium,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:30:00.000Z,1,Western Michigan,Michigan,Michigan Stadium,no,107601,-26.5,,21.470499999999998,50.84,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:30:00.000Z,1,Clemson,LSU,Tiger Stadium (LA),no,102321,-10,50.5,7.36575,47.239999999999995,away,medium,under,medium,away,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:30:00.000Z,1,UL Monroe,Mississippi State,Davis Wade Stadium,no,61337,-29.5,55.5,22.876749999999998,52.64,away,high,under,medium,away,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-05T23:45:00.000Z,1,Florida Atlantic,Florida,Ben Hill Griffin Stadium,no,88548,-26.5,58.5,14.222750000000001,53.36,away,high,under,medium,away,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:00:00.000Z,1,Central Michigan,New Mexico,University Stadium (NM),no,39224,-12.5,,9.55125,49.760000000000005,away,medium,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:00:00.000Z,1,UNLV,Hawai'i,Clarence T.C. Ching Athletics Complex,no,15194,1.5,58.5,-2.1805,55.76,away,low,under,medium,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:30:00.000Z,1,Western Kentucky,Nevada,Mackay Stadium,no,27000,3,52.5,-5.273000000000001,49.879999999999995,away,medium,under,medium,away,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T02:30:00.000Z,1,UCLA,California,California Memorial Stadium,no,62467,-1.5,54.5,1.0430000000000006,53,away,low,under,low,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
2026-09-06T20:00:00.000Z,1,Washington State,Washington,Husky Stadium,no,70138,-21.5,,14.59675,50.84,away,high,,,,"blend of 4 margin source(s): espn_fpi, fei, team_rankings, predictiontracker; total from fei"
